keyphrase,passage,T5_Q,T5_A
egyptian civilization,"As Egyptian civilization grew more complex, people took on jobs other than that of a farmer or scribe. The Nile River fed Egyptian civilization for hundreds of years.",What other job did people take on as Egyptian civilization grew more complex?,a farmer or scribe
egypt,"As in many ancient societies, much of the knowledge of Egypt came about as priests studied the world to find ways to please the gods. Veins (long streaks) of copper, iron, and bronze were hidden inside desert mountains in the hot Sinai Peninsula, east of Egypt. Because the pharaoh was thought to be a god, government and religion were not separate in ancient Egypt. If Egypt suffered hard times for a long period, the people blamed the pharaoh for angering the gods. For about 500 more years, the kings held Egypt together, but with a much weaker central government. In Egypt, people became slaves if they owed a debt, committed a crime, or were captured in war. Children in Egypt played with toys such as dolls, animal figures, board games, and marbles. The first rulers of Egypt were often buried in an underground tomb topped by mud brick. Ancient Egypt had no money, so people exchanged goods that they grew or made. It combined the red Crown of Lower Egypt with the white Crown of Upper Egypt. It combined the red Crown of Lower Egypt with the white Crown of Upper Egypt. Rulers during the Middle Kingdom also faced challenges from outside Egypt. Egypt was one of the best places in the ancient world to be a woman. A nomadic people called the Hyksos invaded Egypt from the northeast. Legend says a king named Narmer united Upper and Lower Egypt. After Egypt was united, its ruler wore the Double Crown. The king of Egypt became known as the pharaoh pharaoh. One of the highest jobs in Egypt was to be a priest. The parts of Egypt not near the Nile were a desert. Weather in Egypt was almost always the same. Egypt also created an army to defend itself. As Egypt grew, so did its need to organize. More than 30 dynasties ruled ancient Egypt. Egypt’s economy depended on farming. Egypt prospered along the Nile.",Who studied the world to find ways to please the gods?,priests
nile river,"Unlike the Tigris and Euphrates, the Nile River flooded at the same time every year, so farmers could predict when to plant their crops. The Nile River fed Egyptian civilization for hundreds of years.",What river flooded every year?,the Nile River
word pharaoh,"The word pharaoh meant “great house,” and it was originally used to describe the king’s palace.",What word meant “great house”?,pharaoh
underground tomb,The first rulers of Egypt were often buried in an underground tomb topped by mud brick.,What was the name of the tomb of Egypt's first rulers?,mud brick
small pyramid,They replaced the mud brick with a small pyramid of brick or stone.,What was replaced by a pyramid of brick or stone?,mud brick
priest,"Before entering a temple, a priest bathed and put on special linen garments and white sandals. One of the highest jobs in Egypt was to be a priest.",Who bathed before entering a temple?,a priest
years,"About 80 years later, a pharaoh named Khufu decided he wanted a monument that would show the world how great he was. About 5,000 years ago, they noticed that a star now called Sirius appeared shortly before the Nile began to flood. For about 500 more years, the kings held Egypt together, but with a much weaker central government. After about 100 years, the Egyptians drove out the Hyksos and began the New Kingdom. The Nile River fed Egyptian civilization for hundreds of years. The Great Pyramid took nearly 20 years to build.",Who wanted a monument that would show the world how great he was?,Khufu
king,"The word pharaoh meant “great house,” and it was originally used to describe the king’s palace. About 2630 B.C., King Djoser built a much larger pyramid over his tomb. When a king died, one of his children usually took his place as ruler. Legend says a king named Narmer united Upper and Lower Egypt. The king of Egypt became known as the pharaoh pharaoh. Later it became the title of the king himself.",What did the word pharaoh mean?,great house
red land,"Red Land, Black Land The ancient Egyptians lived in narrow bands of land on each side of the Nile. The red land was the barren desert beyond the fertile region.",What type of land did Egyptians live in?,Black Land
precious stones,Egyptians mined precious stones too.,What did Egyptians mine?,precious stones
world,"As in many ancient societies, much of the knowledge of Egypt came about as priests studied the world to find ways to please the gods. About 80 years later, a pharaoh named Khufu decided he wanted a monument that would show the world how great he was. The Longest River the Nile is 4,160 miles long—the world’s longest river. Based on that, Egyptians developed the world’s first practical calendar. That knowledge helped them perform some of the world’s first surgery. Egypt was one of the best places in the ancient world to be a woman. They were probably the first people in the world to mine turquoise. It is the oldest-known large stone structure in the world.",Who studied the world to find ways to please the gods?,priests
farmers,"Unlike the Tigris and Euphrates, the Nile River flooded at the same time every year, so farmers could predict when to plant their crops. Farmers did the heavy labor of hauling stone during the season when the Nile flooded their fields. Each year, Egyptian farmers watched for white birds called ibises, which flew up from the south. Agricultural Techniques By about 2400 B.C., farmers used technology to expand their farmland. After the waters drained away, farmers could plant seeds in the fertile soil. When farmers produce food surpluses, the society’s economy begins to expand.",Which two countries flooded the Nile River every year?,Tigris and Euphrates
ruler,"Together, the priests and the ruler held ceremonies to please the gods. When a king died, one of his children usually took his place as ruler. So the ruler and the priests tried hard to keep the gods happy. After Egypt was united, its ruler wore the Double Crown.",Who held ceremonies to please the gods?,the priests and the ruler
